size,subject,layer,shape,mean_r,median_r,std_r,min_r,max_r,nan_count,inf_count,zero_ratio,positive_ratio,file
13B,4,0,"(10242,)",0.08447559686672221,0.08949633219133936,0.02255896936777924,-0.12624630828872496,0.1523237724432602,0,0,0.0,0.9780316344463972,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer0/base_subj4_corrlh.npy
13B,5,0,"(10242,)",0.06807067543005679,0.07454571565019474,0.026354613511406857,-0.1035743163883287,0.14986673014617385,0,0,0.0,0.9550868970904121,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer0/base_subj5_corrlh.npy
13B,6,0,"(10242,)",0.03934792219593869,0.04202480902671683,0.014121625118927035,-0.09635454088650863,0.09746761174371177,0,0,0.0,0.9693419254051943,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer0/base_subj6_corrlh.npy
13B,7,0,"(10242,)",0.0959471747184957,0.10031030143425809,0.02046344761990432,-0.09462175889705525,0.13500815256570045,0,0,0.0,0.9855496973247413,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer0/base_subj7_corrlh.npy
13B,8,0,"(10242,)",0.16753601794674935,0.18419896522325824,0.06305640129624478,-0.21861489854029392,0.24485495028142612,0,0,0.0,0.9580160124975591,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer0/base_subj8_corrlh.npy
13B,4,1,"(10242,)",0.07778047794090263,0.08287277543158728,0.022170656330792234,-0.1284664248570075,0.13790087755826147,0,0,0.0,0.9772505370044913,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer1/base_subj4_corrlh.npy
13B,5,1,"(10242,)",0.08962410118325144,0.10041031828810729,0.036561914918909,-0.14771019328347418,0.1535692668104394,0,0,0.0,0.9473735598515914,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer1/base_subj5_corrlh.npy
13B,6,1,"(10242,)",0.042587039506144495,0.045338461701096705,0.013586964518369148,-0.15600034493647863,0.08957395048348343,0,0,0.0,0.9767623511033001,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer1/base_subj6_corrlh.npy
13B,7,1,"(10242,)",0.09728272480888514,0.10172850154297378,0.020488911220030232,-0.1195755194753445,0.14672838830513427,0,0,0.0,0.9860378832259324,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer1/base_subj7_corrlh.npy
13B,8,1,"(10242,)",0.23532222339947037,0.25706131165022095,0.0833815141365852,-0.26407680396500594,0.3215587888925727,0,0,0.0,0.9605545791837532,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer1/base_subj8_corrlh.npy
13B,4,10,"(10242,)",0.062136117009302626,0.06738467965965572,0.020368284790954396,-0.13494943989173402,0.11298667983549857,0,0,0.0,0.9720757664518649,/media/i9a2/WindowsData/Wsh/Brain_LLM_Project/4_Results_fmriprep25_test/llama/13B/base/layer10/base_subj4_corrlh.npy
