size,layer,n_subjects,mean_r,median_r,std_between_subjects,avg_zero_ratio,avg_positive_ratio,nan_total,inf_total
13B,0,5,0.09107547743159254,0.09811522470515346,0.04774533223149461,0.0,0.9692052333528608,0,0
13B,1,5,0.10851931336773082,0.11748227372279721,0.07391584522010751,0.0,0.9695957820738137,0,0
13B,2,5,0.11465422034148567,0.12514239865276902,0.07138414469912285,0.0,0.9671157976957625,0,0
13B,3,5,0.07795894189294195,0.08607009299494317,0.07030622596029226,0.0,0.9023628197617652,0,0
13B,4,5,0.09178948194554486,0.10193419615700691,0.05757685269927789,0.0,0.9539152509275531,0,0
13B,5,5,0.07653986365033935,0.08388369392415476,0.04047948562746518,0.0,0.9595782073813709,0,0
13B,6,5,0.07434282654313915,0.08146650168215253,0.060014540955696125,0.0,0.7822300331966413,0,0
13B,7,5,0.09915792283009592,0.10891154148059552,0.06018148251860862,0.0,0.961999609451279,0,0
13B,8,5,0.0818285459295225,0.08944106786086317,0.04639215519099818,0.0,0.9024409295059559,0,0
13B,9,5,0.1116520888891311,0.1232868389633699,0.06162983364276262,0.0,0.9571177504393674,0,0
13B,10,5,0.0704774352326248,0.07816903252954888,0.08361206337728047,0.0,0.7750634641671549,0,0
13B,11,5,0.0830768877234997,0.09063241038553642,0.06674585818519578,0.0,0.7846709627025972,0,0
13B,12,5,0.07644960887748226,0.08395288270357024,0.0528731480586043,0.0,0.9599101737941809,0,0
13B,13,5,0.08239027128914662,0.09132783331061158,0.0787636687683067,0.0,0.7869752001562195,0,0
13B,14,5,0.08317392077835013,0.09061043664127862,0.051039863476941914,0.0,0.9674282366725249,0,0
13B,15,5,0.06264669635187992,0.07005826465493721,0.057245549371560046,0.0,0.9332356961530952,0,0
13B,16,5,0.06041052569019656,0.066541393159781,0.07803009377943561,0.0,0.7314586994727592,0,0
13B,17,5,0.054550151497912536,0.06036710645695591,0.07039601558924188,0.0,0.8990626830697129,0,0
13B,18,5,0.09179958568396969,0.1012162276068271,0.04421698973777722,0.0,0.9589533294278461,0,0
13B,19,5,0.0680129592020419,0.07521924133346068,0.07061614833178537,0.0,0.7863698496387425,0,0
13B,20,5,0.08838373646915369,0.09659657091465575,0.05439975145112711,0.0,0.9636789689513767,0,0
13B,21,5,0.0759134859068524,0.08406367801798564,0.08771388516642299,0.0,0.9167350126928333,0,0
13B,22,5,0.0720938247174822,0.08025458701691028,0.045622726402525224,0.0,0.9417496582698692,0,0
13B,23,5,0.060401702274645454,0.06658238791715858,0.07025323268259158,0.0,0.9120093731693029,0,0
13B,24,5,0.05119077110616699,0.05691404934162934,0.06524681934698266,0.0,0.7749072446787737,0,0
13B,25,5,0.04738878486668844,0.05189250926907746,0.058132748579593024,0.0,0.7510251903925015,0,0
13B,26,5,0.06508960525688673,0.0718099085918504,0.04133587912762391,0.0,0.960183557898848,0,0
13B,27,5,0.04353898553976964,0.0470148241792125,0.05371295244392709,0.0,0.766764303846905,0,0
13B,28,5,0.0434831161911611,0.04805177114192049,0.07078777746539196,0.0,0.7746924428822496,0,0
13B,29,5,0.07516568186563036,0.08360801661057853,0.06322611343755594,0.0,0.7864870142550283,0,0
13B,30,5,0.056305158002281086,0.06209876852908227,0.05343388745375607,0.0,0.7675844561609061,0,0
13B,31,5,0.04172771789510671,0.04467836273869729,0.041573915201096615,0.0,0.7578402655731302,0,0
13B,32,5,0.06174374893455949,0.06823100622430343,0.062285398570670655,0.0,0.7532708455379808,0,0
13B,33,5,0.06153413575878547,0.06740036689255163,0.05533443898045421,0.0,0.7759031439172037,0,0
13B,34,5,0.06619555957859083,0.07268625209414306,0.05157120403161166,0.0,0.7824253075571177,0,0
13B,35,5,0.06513428920570148,0.07172358919499494,0.05678963588651838,0.0,0.9606131614918961,0,0
13B,36,5,0.051606255179453296,0.0565413963580352,0.04659320265408299,0.0,0.9515133762936927,0,0
13B,37,5,0.0912370939834142,0.09956759459575977,0.06665493767077155,0.0,0.960124975590705,0,0
13B,38,5,0.07087890304777891,0.07789723828642578,0.05077135453305524,0.0,0.9602616676430384,0,0
13B,39,5,0.09444384986716799,0.1022854072635504,0.06789290216302268,0.0,0.9648896699863307,0,0
30B,0,5,0.0889491308172107,0.0970975645716792,0.043022921559289835,0.0,0.9656707674282365,0,0
30B,1,5,0.09370762226942464,0.10103030006447078,0.05219686119250099,0.0,0.9704354618238625,0,0
30B,2,5,0.09035260151965253,0.09933264655485055,0.08669573714296452,0.0,0.9589338019917986,0,0
30B,3,5,0.0987645155235468,0.10768432942489241,0.06714067339469813,0.0,0.9655536028119508,0,0
30B,4,5,0.09229624791571538,0.10069815532683424,0.042234500297815766,0.0,0.9629564538176136,0,0
30B,5,5,0.07806485044034889,0.08356520813394823,0.05599578451719217,0.0,0.7867018160515524,0,0
30B,6,5,0.10126611339783449,0.11141097181479395,0.07749844703737487,0.0,0.7773677016207772,0,0
30B,7,5,0.09591974196476594,0.10712625658312183,0.06983680384443182,0.0,0.953759031439172,0,0
30B,8,5,0.07171761652835754,0.07830196963774975,0.04928596728001643,0.0,0.9643233743409491,0,0
30B,9,5,0.0671436986033152,0.07389668988248359,0.05999146386298148,0.0,0.7768014059753954,0,0
30B,10,5,0.09075719896663297,0.09912796865481999,0.053539586179866164,0.0,0.9618043350908027,0,0
30B,11,5,0.056916892625691176,0.06039917611046952,0.06880002686976773,0.0,0.7545401288810779,0,0
30B,12,5,0.0756974531638428,0.08215762976223105,0.0383937319675852,0.0,0.9651825815270454,0,0
30B,13,5,0.08292663946478185,0.08972989050057942,0.08308484526091604,0.0,0.776488966998633,0,0
30B,14,5,0.09292791465743541,0.100898731956612,0.07460984871551973,0.0,0.885237258347979,0,0
30B,15,5,0.04979314898764181,0.053449371791545255,0.0469777708551773,0.0,0.7771724272603008,0,0
30B,16,5,0.08427606954449436,0.09224192764935689,0.07148474440298598,0.0,0.9602030853348955,0,0
30B,17,5,0.059103846690309235,0.06482320710932699,0.058585557910038735,0.0,0.787443858621363,0,0
30B,18,5,0.062299110497156286,0.06862330653178628,0.07506723175087968,0.0,0.933020894356571,0,0
30B,19,5,0.07827152130518625,0.08533553195201243,0.055147523594744056,0.0,0.7876196055457918,0,0
30B,20,5,0.060583357480499124,0.0663997421019629,0.03491731223743682,0.0,0.9597148994337044,0,0
30B,21,5,0.10364651597064571,0.1149607858473038,0.08350814290215317,0.0,0.7742628392892014,0,0
30B,22,5,0.07267792488765985,0.07856421881711337,0.0612231546715876,0.0,0.9620777191954696,0,0
30B,23,5,0.0621202331753818,0.06839443165151914,0.07015986033259645,0.0,0.7767818785393478,0,0
30B,24,5,0.04486413148040182,0.05037196561902193,0.053529575368144115,0.0,0.8726030072251513,0,0
